Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings (%),Accuracy Drop,Efficiency Score
Original,68.4,557.91,0.542,1.0,342,500,,0.0,0.0,12.26
BeConcise,69.0,457.87,0.524,0.821,345,500,,17.93,-0.6,15.07
OnlyNumbers,53.6,350.41,0.52,0.628,268,500,,37.19,14.8,15.296
AbbreWords,69.6,487.37,0.523,0.874,348,500,,12.64,-1.2,14.281
Truncation_0.9,66.4,547.74,0.475,0.982,332,500,0.9,1.82,2.0,12.123
Truncation_0.8,62.6,531.58,0.417,0.953,313,500,0.8,4.72,5.8,11.776
Truncation_0.7,60.0,506.77,0.359,0.908,300,500,0.7,9.17,8.4,11.84
Truncation_0.6,55.2,475.64,0.319,0.853,276,500,0.6,14.75,13.2,11.605
Truncation_0.5,44.6,433.01,0.267,0.776,223,500,0.5,22.39,23.8,10.3
