Benchmark,Model Size,Params (B),Method,Accuracy,Avg Tokens,Token Savings,Latency(s)
GSM8K,3B,3.0,Truncation0.9,79.83,315.41,0.97,0.166
GSM8K,3B,3.0,LLMLingua0.5,31.69,287.65,9.69,0.181
GSM8K,3B,3.0,LLMLingua0.6,45.03,308.84,3.03,0.185
GSM8K,3B,3.0,LLMLingua0.7,57.47,316.95,0.49,0.184
GSM8K,3B,3.0,LLMLingua0.8,72.93,318.06,0.14,0.183
GSM8K,3B,3.0,LLMLingua0.9,78.77,319.71,-0.38,0.185
GSM8K,3B,3.0,LoRA0.5,73.69,173.49,45.53,0.143
GSM8K,3B,3.0,LoRAGuided0.5,73.69,164.25,48.43,0.139
GSM8K,3B,3.0,LoRASoft0.5,72.18,157.89,50.43,0.145
GSM8K,3B,3.0,LoRA0.6,78.54,216.95,31.88,0.158
GSM8K,3B,3.0,LoRAGuided0.6,78.24,200.21,37.14,0.144
GSM8K,3B,3.0,LoRASoft0.6,74.53,175.1,45.02,0.127
GSM8K,3B,3.0,LoRA0.7,82.41,251.5,21.04,0.164
GSM8K,3B,3.0,LoRAGuided0.7,80.44,235.98,25.91,0.168
GSM8K,3B,3.0,LoRASoft0.7,79.68,208.71,34.47,0.149
GSM8K,3B,3.0,LoRA0.8,81.96,274.64,13.77,0.174
GSM8K,3B,3.0,LoRAGuided0.8,82.64,258.78,18.75,0.167
GSM8K,3B,3.0,LoRASoft0.8,81.27,238.09,25.25,0.163
GSM8K,3B,3.0,LoRA0.9,84.08,290.14,8.9,0.177
GSM8K,3B,3.0,LoRAGuided0.9,83.17,272.34,14.49,0.174
GSM8K,3B,3.0,LoRASoft0.9,82.79,252.75,20.64,0.172
GSM8K,7B,7.0,Original,90.45,299.8,0.0,0.215
GSM8K,7B,7.0,BeConcise,90.22,231.62,22.74,0.186
GSM8K,7B,7.0,OnlyNumbers,89.46,180.23,39.88,0.164
GSM8K,7B,7.0,AbbreWords,88.86,181.51,39.46,0.179
GSM8K,7B,7.0,LC-Prompt,89.54,178.45,40.48,0.148
GSM8K,7B,7.0,Truncation0.5,39.12,241.47,19.46,0.094
GSM8K,7B,7.0,Truncation0.6,61.49,268.74,10.36,0.116
GSM8K,7B,7.0,Truncation0.7,75.51,285.11,4.9,0.141
GSM8K,7B,7.0,Truncation0.8,84.69,293.88,1.97,0.166
GSM8K,7B,7.0,Truncation0.9,88.63,297.97,0.61,0.192
GSM8K,7B,7.0,LLMLingua0.5,41.39,287.21,4.2,0.208
GSM8K,7B,7.0,LLMLingua0.6,54.28,301.36,-0.52,0.209
GSM8K,7B,7.0,LLMLingua0.7,68.61,299.05,0.25,0.209
GSM8K,7B,7.0,LLMLingua0.8,81.8,303.56,-1.25,0.209
GSM8K,7B,7.0,LLMLingua0.9,87.79,308.0,-2.74,0.216
GSM8K,7B,7.0,LoRA0.5,83.78,164.37,45.17,0.142
GSM8K,7B,7.0,LoRAGuided0.5,83.47,154.84,48.35,0.155
GSM8K,7B,7.0,LoRASoft0.5,82.87,153.34,48.85,0.138
GSM8K,7B,7.0,LoRA0.6,86.5,186.78,37.7,0.162
GSM8K,7B,7.0,LoRAGuided0.6,87.19,174.05,41.94,0.156
GSM8K,7B,7.0,LoRASoft0.6,85.52,164.8,45.03,0.143
GSM8K,7B,7.0,LoRA0.7,88.55,225.19,24.89,0.187
GSM8K,7B,7.0,LoRAGuided0.7,88.86,209.69,30.06,0.167
GSM8K,7B,7.0,LoRASoft0.7,87.41,192.7,35.72,0.163
GSM8K,7B,7.0,LoRA0.8,89.92,254.88,14.98,0.202
